date,channel,name,where_found,message,personal_detail,replied,outcome,next_action
,email,MTA NSW Newcastle branch,mtansw.org.au/newcastle-branch,M1,,,,
,email,,musicteacher.com.au Newcastle piano directory,M2,,,,
,email,,musicteacher.com.au Newcastle piano directory,M2,,,,
,email,,musicteacher.com.au Newcastle piano directory,M2,,,,
,email,,musicteacher.com.au Newcastle piano directory,M2,,,,
,email,,musicteacher.com.au Newcastle piano directory,M2,,,,
,dm,,r/pianoteachers thread (VALIDATION.md),M3,,,,
,dm,,r/pianoteachers thread (VALIDATION.md),M3,,,,
,dm,,r/piano thread (VALIDATION.md),M3,,,,
,post,r/pianoteachers,,P1,,,,
,post,Piano Teachers PLUS (Facebook),,P2,,,,
,post,Australian piano teachers group (Facebook),,P2,,,,
